gene,chr,tss,MCF7_WT_binding,MCF7_D538G_binding,MCF7_binding_diff,T47D_WT_binding,T47D_D538G_binding,T47D_binding_diff,has_any_binding,has_differential_binding,has_opposite_binding,MCF7_FC,T47D_FC,correlation_type,total_effect
HIP1,chr7,75738986,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.1281832812647923,0.5939889825016202,same_as_secretion,21.383754261673047
PARP14,chr3,122680839,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.717093639575972,0.4754426273820785,same_as_secretion,21.097468123012955
ADAMTS15,chr11,130448645,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,6.590830639846863,0.3346314325452016,same_as_secretion,21.08376823885351
CD74,chr5,150412969,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.886322703676237,0.3774479397430217,same_as_secretion,20.99291552754205
PREX1,chr20,48828096,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.283542802940479,1.3772123893805308,inverse_repressor,20.951289823421146
SOWAHA,chr5,132813302,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.488030467899891,0.4641305932079872,same_as_secretion,20.926425117242523
CNN2,chr19,1026547,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.4590934335882429,1.6799452429842574,inverse_repressor,20.76406600723533
IGF2,chr11,2158391,259.97,0.0,-259.97,0.0,0.0,0.0,True,True,False,21.41109969167524,0.3420949301305001,same_as_secretion,20.707788246862517
SALL2,chr14,21537216,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.5763270689086712,0.5924382256623996,same_as_secretion,20.4661374448562
IFITM3,chr11,329475,0.0,0.0,0.0,0.0,74.04,74.04,True,True,False,1.8797415004214664,0.2372145432692307,same_as_secretion,20.31134168431324
PTGER4,chr5,40679915,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.4058743786714868,1.2097216777734223,inverse_repressor,20.29750237227617
PYCARD,chr16,31203450,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.6981792717086837,0.6863685792874049,same_as_secretion,20.271962387976664
PIK3C2G,chr12,18242960,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.002808988764045,0.3624954987396471,same_as_secretion,20.2455440287359
CTSC,chr11,88359684,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.4934649483593825,0.6398727232828615,same_as_secretion,19.979958180563028
STS,chrX,7147237,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2134498104499754,0.2073571722153719,same_as_secretion,19.95459362712604
DSCAM-AS1,chr21,40383029,367.12,124.3,-242.82,0.0,72.62,72.62,True,True,True,2.1702168124762267,0.6592491155996805,same_as_secretion,19.953327979476093
FAT1,chr4,186726722,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.4737881013587954,1.439573133835745,inverse_repressor,19.793922678806577
DTX3L,chr3,122564338,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.9914506717329357,0.4934108032179798,same_as_secretion,19.778064900222372
MEGF9,chr9,120714470,75.6,0.0,-75.6,0.0,0.0,0.0,True,True,False,2.205826931439339,0.6577311821206605,same_as_secretion,19.512351634957703
IFI6,chr1,27672212,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,26.85901134833621,0.4007329165768485,same_as_secretion,19.50591034374556
DYRK2,chr12,67647913,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.252373838401742,0.6379375438218003,same_as_secretion,19.505897857843323
HSPA12A,chr10,116850251,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.858520618406056,0.7596981132075471,same_as_secretion,19.480856407829112
GALNT6,chr12,51392867,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.5848253085346775,0.7236533957845432,same_as_secretion,19.45831433694213
PLEKHF1,chr19,29665398,290.34,155.55,-134.78999999999996,0.0,242.77,242.77,True,True,True,0.4236889105374249,1.5541942996000608,inverse_repressor,19.44949878672946
HMCN1,chr1,185734391,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.2859316052087136,1.8451253481894152,inverse_repressor,19.382492380821443
DGAT2,chr11,75759512,0.0,0.0,0.0,0.0,78.34,78.34,True,True,False,1.7490467937608316,0.3488964198818213,same_as_secretion,19.25027579386934
SYNE1,chr6,152637801,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.3702677746999075,0.7436342958235928,same_as_secretion,19.18960177863068
SLC2A1,chr1,42958893,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.614656031904287,0.7500544069640914,same_as_secretion,19.131234653575586
CAPG,chr2,85422017,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.9930003526954063,0.4628384866525831,same_as_secretion,18.955116533919984
PAPSS2,chr10,87659613,178.15,62.53,-115.62,61.07,278.65,217.57999999999998,True,True,True,1.5397397397397397,0.6254646840148698,same_as_secretion,18.92441615550314
C3,chr19,6730562,0.0,0.0,0.0,0.0,821.49,821.49,True,True,False,13.321574933859004,0.4590553818669048,same_as_secretion,18.814789403937272
CD44,chr11,35138882,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.1134043015424724,0.423911814584511,same_as_secretion,18.81415393879344
DLL1,chr6,170306565,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6870674934843175,2.1952997851702363,inverse_repressor,18.75477132232719
TMSB4X,chrX,12975107,0.0,0.0,0.0,76.29,639.89,563.6,True,True,False,0.5749955884947943,1.3622991407349871,inverse_repressor,18.68698468469335
ZNF812P,chr19,9694892,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.752296861949648,0.192966495168779,same_as_secretion,18.67970540184592
ASRGL1,chr11,62337439,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.36497637510456,0.2564455815784294,same_as_secretion,18.64952786931042
ADM,chr11,10303392,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.311489235043159,2.339235517431246,inverse_repressor,18.645077529617737
BRINP3,chr1,190478404,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.8226675015654352,0.4581795974452276,same_as_secretion,18.40278621526922
TSPAN4,chr11,840686,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.5315267257014831,2.17473477756976,inverse_repressor,18.29702507091108
TFF3,chr21,42315409,133.28,58.27,-75.00999999999999,0.0,59.72,59.72,True,True,True,0.6055590796378525,2.4742778318727687,inverse_repressor,18.219998308939005
SIPA1L2,chr1,232631404,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.6529306220095694,0.3770988961980154,same_as_secretion,18.14983800409817
HLA-A,chr6,29941260,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.859037889761378,0.6929181576820963,same_as_secretion,18.11505520198024
IL6R,chr1,154405193,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.572481572481572,0.6937957717286168,same_as_secretion,18.017980489756127
DCDC2,chr6,24360249,67.58,0.0,-67.58,0.0,314.2,314.2,True,True,True,0.5059388783868936,1.5195605374508203,inverse_repressor,17.84216083399673
EFNB2,chr13,106535662,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.525070907617504,0.4952550143266476,same_as_secretion,17.805728252347315
TP53I3,chr2,24085861,217.73,0.0,-217.73,0.0,183.22,183.22,True,True,True,0.7717403924300476,2.155001416831964,inverse_repressor,17.805348732043246
INS-IGF2,chr11,2161209,2255.59,555.99,-1699.6000000000001,51.88,322.33,270.45,True,True,True,21.857314736419944,0.3676231515032807,same_as_secretion,17.803075685473807
IFT25,chr1,53946588,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7647010647010648,2.0456385498815552,inverse_repressor,17.750361606978018
DYRK3,chr1,206635536,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.42355577689243,0.7524424834541444,same_as_secretion,17.624408417491615
BTN3A2,chr6,26365159,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,5.483473303027968,0.7322166815837702,same_as_secretion,17.57588614549005
ZNF618,chr9,113876052,77.86,0.0,-77.86,0.0,0.0,0.0,True,True,False,1.8364568316514496,0.2316937632038211,same_as_secretion,17.537933756422152
DYNLT3,chrX,37847571,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.181682957926052,0.6245701689933874,same_as_secretion,17.532211030885207
EFEMP1,chr2,55924271,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.3498888498888499,1.2260402455661663,inverse_repressor,17.447896013360896
HSP90B1,chr12,103930107,125.85,147.39,21.539999999999992,0.0,302.54,302.54,True,True,False,1.571171651235596,0.6845531894890237,same_as_secretion,17.447484142685894
GPNMB,chr7,23235967,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.7896999325691163,0.5972960087181584,same_as_secretion,17.42908689620823
ETHE1,chr19,43527257,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.569284064665127,1.8687093461143445,inverse_repressor,17.4186181085908
BBX,chr3,107522936,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.5973229885397846,0.5804321728691476,same_as_secretion,17.39408969611536
CSRP1,chr1,201513100,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.5468784469446283,1.6878512175541878,inverse_repressor,17.378643254007617
GBP2,chr1,89150456,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.482172646817655,0.4761706987851729,same_as_secretion,17.25914002782412
DSCAM,chr21,40847158,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.8186661982551677,0.455434513493439,same_as_secretion,17.220722669580883
SEL1L3,chr4,25863760,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.9111741597555647,0.5010213381100531,same_as_secretion,17.086454325974035
CCL28,chr5,43412391,130.79,0.0,-130.79,210.99,897.51,686.52,True,True,True,3.749907564889447,0.5152143293736214,same_as_secretion,17.038686031792704
PYDC1,chr16,31217162,0.0,60.06,60.06,0.0,83.93,83.93,True,True,False,6.3885238720981175,0.289676342290915,same_as_secretion,17.022551367010184
UST,chr6,148746913,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.058872190817593,0.6184927645179478,same_as_secretion,16.967523097460937
FANCG,chr9,35082444,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7288904899135449,1.414495835548467,inverse_repressor,16.810044200122498
SLC6A14,chrX,116436606,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7499644970414201,5.83654229186031,inverse_repressor,16.70334007722058
ACTR6,chr12,100199122,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.7693580258260189,0.734872431700158,same_as_secretion,16.56551467055659
SPRY2,chr13,80342983,115.28,0.0,-115.28,0.0,0.0,0.0,True,True,False,0.2311454460966543,1.7825773553674884,inverse_repressor,16.532252704475667
P3H2,chr3,190122437,59.1,0.0,-59.1,0.0,172.59,172.59,True,True,True,0.3693497044110959,22.447129909365557,inverse_repressor,16.344352182751773
ESR1,chr6,151651284,446.4,238.58,-207.81999999999996,72.87,536.17,463.29999999999995,True,True,True,0.7123124654681456,1.4019474196689383,inverse_repressor,16.32969428177618
RND3,chr2,150539011,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.452495867768595,1.3233894945490583,inverse_repressor,16.320393847339087
NUDT16L1,chr16,4693562,227.14,0.0,-227.14,0.0,0.0,0.0,True,True,False,0.7622950819672131,1.2534084711870572,inverse_repressor,15.97855826272704
SCPEP1,chr17,56978111,58.26,0.0,-58.26,0.0,211.12,211.12,True,True,True,1.6077302631578947,0.7492484454144874,same_as_secretion,15.972069329981842
HLA-B,chr6,31367067,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.022033049574361,0.7691290469676243,same_as_secretion,15.899694008219743
CHRM1,chr11,62921877,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.5521997288325775,0.2343555488082586,same_as_secretion,15.867917890651714
PADI2,chr1,17119459,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.2443194271936875,0.4501946968292231,same_as_secretion,15.85512608427237
TDRD7,chr9,97412069,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.9346049046321527,0.7880039331366766,same_as_secretion,15.851360925742584
CLEC7A,chr12,10130258,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.8041021671826623,0.3599740512487836,same_as_secretion,15.827119761242852
TNFSF10,chr3,172523476,138.81,0.0,-138.81,0.0,215.32,215.32,True,True,True,13.934237166508623,0.6985248924400738,same_as_secretion,15.821197878846874
OAS1,chr12,112905856,80.28,0.0,-80.28,0.0,0.0,0.0,True,True,False,17.293266391021852,0.2542194092827004,same_as_secretion,15.800161705211824
FCN2,chr9,134880714,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.371067970518811,0.3921062983522007,same_as_secretion,15.755964781198166
ZDBF2,chr2,206274657,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2624174372523116,0.1547285898580926,same_as_secretion,15.75250412557758
COL9A3,chr20,62816244,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.795559973492379,1.473596387907342,inverse_repressor,15.738807703219482
GPR156,chr3,120285426,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.6328974535443908,0.1129583307912879,same_as_secretion,15.72787379761675
PLEKHA4,chr19,48868855,0.0,62.77,62.77,0.0,319.32,319.32,True,True,False,3.8554,0.4687436779283836,same_as_secretion,15.681155804942788
IFITM1,chr11,310041,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,8.211286282599087,0.3451117824773413,same_as_secretion,15.638751624373551
CXXC4,chr4,104494901,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.509669871677695,0.025859174001354,same_as_secretion,15.623072316007743
SLC2A6,chr9,133479148,0.0,0.0,0.0,0.0,52.75,52.75,True,True,False,0.7493584260051326,1.4883605252686032,inverse_repressor,15.58317920044128
RAMP1,chr2,237858893,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.7421040719326766,0.187864428559955,same_as_secretion,15.554266511207883
MIR99AHG,chr21,15928296,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.346948109058927,2.05926051945106,inverse_repressor,15.505743478491675
VCL,chr10,73995193,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7336224606254279,1.2260336507108391,inverse_repressor,15.436813407695864
POMGNT1,chr1,46220305,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7932401625532759,1.2140176311425328,inverse_repressor,15.432993526606982
DDX60L,chr4,168537786,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.315900408378343,0.3920224889834371,same_as_secretion,15.403373790685146
NGDN,chr14,23469679,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2487493051695386,0.6929766767690078,same_as_secretion,15.391324863226554
LY6E,chr8,143012722,1133.6799999999998,177.1,-956.5799999999998,121.57,1848.1100000000001,1726.5400000000002,True,True,True,0.7318076355199326,1.852346503431645,inverse_repressor,15.344103525338015
MAN1A1,chr6,119349767,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,4.793940285336079,0.7606705169742216,same_as_secretion,15.314835554339233
RAB30,chr11,83071923,0.0,0.0,0.0,0.0,252.26,252.26,True,True,False,1.643884379894632,0.6664743807261622,same_as_secretion,15.243284454494088
KBTBD11,chr8,1973677,59.83,0.0,-59.83,0.0,0.0,0.0,True,True,False,1.6592824008330966,0.2525,same_as_secretion,15.135534531007917
DIO1,chr1,53891239,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.2164331210191082,4.216183935503135,inverse_repressor,15.126427566917249
S100A7,chr1,153460651,90.38,128.23,37.849999999999994,0.0,104.11,104.11,True,True,False,22.7805537593322,0.3560649474689589,same_as_secretion,15.073727934194338
PERP,chr6,138107419,105.16,0.0,-105.16,0.0,0.0,0.0,True,True,False,1.7054943147296242,0.7639649066323246,same_as_secretion,15.019946292453296
LAMP3,chr3,183163839,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,4.1874536440644885,0.2095750521576809,same_as_secretion,15.014086063199704
SAA1,chr11,18266260,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,7.309749492213947,0.1418824670992783,same_as_secretion,14.999126754418953
CDON,chr11,126063335,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.6366061440495652,0.5519505017731834,same_as_secretion,14.989529481733951
MIR3652,chr12,103930425,125.85,147.39,21.539999999999992,0.0,302.54,302.54,True,True,False,1.6260795935647756,0.6573014723630219,same_as_secretion,14.876789476648366
FAM228B,chr2,24076526,217.73,0.0,-217.73,0.0,183.22,183.22,True,True,True,0.7638827455868752,1.6832113449222326,inverse_repressor,14.84767131406979
NEXMIF,chrX,74925472,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.9286088413995388,0.1416321145872597,same_as_secretion,14.773421463218591
MATN2,chr8,97868840,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2680520257138588,0.3263667671114937,same_as_secretion,14.677354823453175
TMEM45A,chr3,100492219,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.099732425200681,0.3668876198245971,same_as_secretion,14.670441342801354
MVD,chr16,88663161,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7406312513891976,1.5592555958530243,inverse_repressor,14.65954900269336
SATB1,chr3,18445621,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.5283025709830657,1.6316946296431971,inverse_repressor,14.620480024846335
TMT1A,chr12,50923472,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.617502712197138,0.7633605158353879,same_as_secretion,14.589725528009904
PPM1E,chr17,58755854,0.0,62.36,62.36,0.0,0.0,0.0,True,True,False,2.1352912060716056,0.5500736377025036,same_as_secretion,14.573578424243731
FOLR1,chr11,72189558,333.83,0.0,-333.83,0.0,0.0,0.0,True,True,False,22.60038986354776,0.2134989133809375,same_as_secretion,14.542265018090774
