,cell_type
aabodgja-1,CD8+ T cells
aabomdfl-1,CD8+ T cells
aabooapf-1,CD8+ T cells
aabpaaea-1,CD8+ T cells
aabpbamg-1,CD8+ T cells
aabpbbfe-1,Unknown
aabpejep-1,CD8+ T cells
aabpjcpo-1,Macrophages
aabpklbl-1,Macrophages
aabpkoac-1,CD8+ T cells
aabpmhim-1,CD8+ T cells
aabpoanh-1,CD8+ T cells
aacafmbe-1,CD8+ T cells
aacahkjj-1,Endothelial
aacaigda-1,Macrophages
aacajlge-1,CD8+ T cells
aacalidh-1,Unknown
aacbfblg-1,CD8+ T cells
aacbflpj-1,CD8+ T cells
aacbjbbg-1,CD8+ T cells
aacbjjoi-1,CD8+ T cells
aacbmdjm-1,Unknown
aacbnopm-1,Macrophages
aaccalho-1,CD8+ T cells
aaccbohg-1,Macrophages
aaccemoe-1,CD4+ T cells
aaccfcli-1,CD8+ T cells
aaccgabl-1,CD8+ T cells
aaccihij-1,Unknown
aaccolpg-1,CD8+ T cells
aaccpdgj-1,Macrophages
aacdbdpo-1,CD8+ T cells
aacddkhd-1,CD8+ T cells
aacdeakj-1,CD8+ T cells
aacdfped-1,CD8+ T cells
aacdnben-1,Macrophages
aacdojde-1,Macrophages
aacebheb-1,Unknown
aaceclnh-1,Unknown
aacefhmk-1,CD8+ T cells
aacegpil-1,Unknown
aacehnfc-1,Unknown
aacejpcg-1,Unknown
aacfbcia-1,Endothelial
aacfedcg-1,CD8+ T cells
aacffkaf-1,CD8+ T cells
aacfhlli-1,Macrophages
aacflnch-1,Epithelial
aacfnneo-1,Unknown
aacgcicd-1,Macrophages
aacgdjjd-1,CD8+ T cells
aacgdkep-1,CD8+ T cells
aacgggei-1,CD8+ T cells
aacgkpjd-1,Unknown
aacgljoc-1,CD8+ T cells
aacgmmho-1,CD8+ T cells
aacgnhmo-1,Unknown
aachdjda-1,CD8+ T cells
aachdllj-1,Endothelial
aachiplh-1,CD8+ T cells
aachjpja-1,Unknown
aachmbid-1,CD8+ T cells
aachoaec-1,Unknown
aachokdk-1,CD8+ T cells
aachpiad-1,Unknown
aaciaeam-1,Unknown
aaciafec-1,CD8+ T cells
aacialam-1,Unknown
aacibdhb-1,Unknown
aacifcbe-1,CD8+ T cells
aacifmhp-1,Macrophages
aaciggjc-1,CD8+ T cells
aacihjae-1,Unknown
aaciijpp-1,CD8+ T cells
aacijjdl-1,Unknown
aacikipm-1,CD8+ T cells
aacimkmn-1,CD8+ T cells
aacinmkb-1,CD8+ T cells
aacipkjl-1,Unknown
aacjbabj-1,CD8+ T cells
aacjbahi-1,Epithelial
aacjdhjp-1,Epithelial
aacjfpcn-1,Unknown
aacjhkdi-1,Macrophages
aacjijkm-1,CD8+ T cells
aacjkdjk-1,Unknown
aacjknli-1,CD8+ T cells
aacjmebj-1,Macrophages
aacjmnkn-1,CD4+ T cells
aacjnbjc-1,Macrophages
aacjneie-1,CD4+ T cells
aackcdcj-1,Unknown
aackcell-1,Unknown
aackjnpj-1,Unknown
aackpfbi-1,CD8+ T cells
aaclbpmo-1,Macrophages
aacldeai-1,CD8+ T cells
aaclglnh-1,Macrophages
aacljdig-1,Macrophages
aacllejc-1,CD8+ T cells
aaclmpag-1,CD8+ T cells
aaclndgm-1,Macrophages
aaclnfjl-1,Unknown
aaclnhef-1,Macrophages
aacloidh-1,Macrophages
aaclphna-1,CD8+ T cells
aaclpnkb-1,CD8+ T cells
aacmhifn-1,CD8+ T cells
aacmjhmg-1,Macrophages
aacnbjkk-1,Macrophages
aacncijm-1,CD8+ T cells
aacnfncb-1,Macrophages
aacngpgb-1,Macrophages
aacnhifa-1,CD8+ T cells
aacnhllm-1,CD8+ T cells
aacnhnab-1,CD8+ T cells
aacnoolj-1,Macrophages
aacoaifi-1,CD8+ T cells
aacofjgj-1,Unknown
aacohkff-1,Fibroblasts
aacoical-1,Unknown
aacojpil-1,Unknown
aacolmfc-1,CD8+ T cells
aacolmjb-1,Macrophages
aaconoii-1,CD8+ T cells
aacpckob-1,Macrophages
aacpfhfe-1,CD8+ T cells
aacpfhio-1,Endothelial
aacphggj-1,CD8+ T cells
aacpiofe-1,Unknown
aacpkbdk-1,CD8+ T cells
aacpphlj-1,Unknown
aacppkim-1,Macrophages
aacppmhm-1,Macrophages
aadabmmb-1,CD8+ T cells
aadacnoe-1,CD8+ T cells
aadadfbp-1,CD8+ T cells
aadadpgm-1,CD8+ T cells
aadahemc-1,CD8+ T cells
aadajnbd-1,CD8+ T cells
aadamghj-1,CD8+ T cells
aadangap-1,CD8+ T cells
aadbacoo-1,Macrophages
aadbajkf-1,CD8+ T cells
aadbapnb-1,CD8+ T cells
aadbbkel-1,Macrophages
aadbglhf-1,Unknown
aadbjopa-1,Macrophages
aadblgdf-1,CD8+ T cells
aadbnfne-1,Unknown
aadbolfh-1,CD8+ T cells
aadcblpi-1,CD8+ T cells
aadcdlpa-1,CD8+ T cells
aadceeic-1,CD4+ T cells
aadcggil-1,CD8+ T cells
aadcgibn-1,Macrophages
aadcigkc-1,CD8+ T cells
aadcldjo-1,CD8+ T cells
aadcmfpf-1,CD8+ T cells
aadcmjao-1,CD8+ T cells
aadcmjkn-1,Unknown
aadcpedg-1,CD8+ T cells
aaddadcg-1,Macrophages
aaddehhc-1,CD8+ T cells
aaddenif-1,CD4+ T cells
aaddepcj-1,Unknown
aaddgdfe-1,CD8+ T cells
aaddifon-1,Macrophages
aaddknmp-1,CD8+ T cells
aaddoofe-1,CD8+ T cells
aadeicio-1,CD8+ T cells
aadeogbd-1,CD8+ T cells
aadepddo-1,CD8+ T cells
aadfajag-1,CD8+ T cells
aadfbaoo-1,CD8+ T cells
aadfcljc-1,CD8+ T cells
aadfdibh-1,CD8+ T cells
aadfhiik-1,CD8+ T cells
aadfhjgj-1,CD8+ T cells
aadfinai-1,CD8+ T cells
aadflgag-1,Macrophages
aadgbkkd-1,CD8+ T cells
aadgfiok-1,Macrophages
aadgfmon-1,Macrophages
aadggfno-1,CD8+ T cells
aadggmoc-1,CD8+ T cells
aadgikhg-1,Macrophages
aadgjfke-1,CD8+ T cells
aadgkphm-1,Macrophages
aadgofpa-1,CD8+ T cells
aadgpnee-1,CD8+ T cells
aadhcdka-1,CD8+ T cells
aadhckmc-1,CD8+ T cells
aadhdlim-1,CD8+ T cells
aadhgcak-1,CD8+ T cells
aadhhpni-1,Macrophages
aadhihkj-1,Macrophages
aadhiojk-1,CD8+ T cells
aadhjmpd-1,Unknown
aadiedeg-1,Unknown
aadihcmf-1,CD8+ T cells
aadiiedd-1,CD8+ T cells
aadiklbd-1,CD8+ T cells
aadimgjo-1,Macrophages
aadiodhd-1,Macrophages
aadjapdd-1,Macrophages
aadjceki-1,CD8+ T cells
aadjcmac-1,CD8+ T cells
aadjcmfh-1,CD8+ T cells
aadjdppm-1,CD8+ T cells
aadjfpdh-1,Unknown
aadjpcig-1,Macrophages
aadjplhm-1,CD4+ T cells
aadkgggi-1,CD8+ T cells
aadkhphe-1,CD8+ T cells
aadkkika-1,CD4+ T cells
aadknhnh-1,CD8+ T cells
aadlacnm-1,CD8+ T cells
aadlcfbl-1,CD8+ T cells
aadlfchn-1,CD8+ T cells
aadlflbl-1,CD8+ T cells
aadlhbhl-1,CD8+ T cells
aadljplo-1,CD8+ T cells
aadlnbah-1,Macrophages
aadlnddi-1,CD8+ T cells
aadlommi-1,Macrophages
aadmabmi-1,Macrophages
aadmaico-1,CD8+ T cells
aadmangn-1,Unknown
aadmbnjc-1,Macrophages
aadmgejk-1,Unknown
aadmjbde-1,CD8+ T cells
aadmnlpb-1,CD8+ T cells
aadmpfke-1,CD8+ T cells
aadmphao-1,CD8+ T cells
aadndfhh-1,CD8+ T cells
aadnglfa-1,CD8+ T cells
aadnkjic-1,Fibroblasts
aadnlmen-1,Unknown
aadnmkeo-1,Unknown
aadnmnii-1,CD8+ T cells
aadoeedo-1,CD8+ T cells
aadoeihd-1,Macrophages
aadofiln-1,CD8+ T cells
aadohdhb-1,CD8+ T cells
aadoibmj-1,Unknown
aadoklpb-1,Epithelial
aadomdjo-1,CD4+ T cells
aadomjja-1,CD8+ T cells
aadonnlk-1,Macrophages
aadpahhm-1,Epithelial
aadpakbe-1,CD8+ T cells
aadpaocn-1,Unknown
aadpbhpg-1,Endothelial
aadpegnl-1,CD8+ T cells
aadpjaie-1,CD4+ T cells
aadpkgfa-1,CD4+ T cells
aadplfgl-1,Unknown
aadpmhkd-1,Macrophages
aaeaehbb-1,Epithelial
aaeafene-1,Macrophages
aaeagdag-1,CD8+ T cells
aaeaipff-1,CD8+ T cells
aaeangel-1,Macrophages
aaebacjm-1,CD8+ T cells
aaebgdjd-1,Macrophages
aaebgkgf-1,CD8+ T cells
aaebhhhh-1,CD8+ T cells
aaebhnna-1,CD8+ T cells
aaebjimd-1,Epithelial
aaebmkfa-1,CD8+ T cells
aaecclem-1,Macrophages
aaecflhc-1,Macrophages
aaecfnjp-1,Macrophages
aaecheol-1,CD8+ T cells
aaecignd-1,CD8+ T cells
aaeckbhf-1,Unknown
aaecpikd-1,Unknown
aaeddkpp-1,CD8+ T cells
aaeddnmh-1,Unknown
aaedhenb-1,Endothelial
aaedhfch-1,CD8+ T cells
aaedibod-1,CD8+ T cells
aaedlnhp-1,CD8+ T cells
aaedmagf-1,CD8+ T cells
aaeeaohf-1,CD8+ T cells
aaeebjjn-1,CD8+ T cells
aaeeeocg-1,CD8+ T cells
aaeehdnc-1,Macrophages
aaeeihok-1,CD8+ T cells
aaeejmmf-1,Macrophages
aaeeknpf-1,CD8+ T cells
aaeeljbf-1,CD8+ T cells
aaeenbfc-1,CD8+ T cells
aaeepchi-1,Epithelial
aaeepkdc-1,CD8+ T cells
aaeeppeg-1,CD8+ T cells
aaefadjd-1,CD8+ T cells
aaefaejd-1,Macrophages
aaefallb-1,CD8+ T cells
aaefbodl-1,CD8+ T cells
aaefcnkl-1,CD8+ T cells
aaefcpgj-1,Unknown
aaefdimb-1,CD8+ T cells
aaefgiho-1,CD8+ T cells
aaefgmpk-1,Macrophages
aaefhndg-1,CD8+ T cells
aaeflbfi-1,CD8+ T cells
aaefolmb-1,Macrophages
aaefpmjg-1,CD8+ T cells
aaegafpd-1,Macrophages
aaegbfdi-1,CD4+ T cells
aaegdaak-1,CD8+ T cells
aaegeaab-1,CD8+ T cells
aaegfaom-1,Unknown
aaegfcpp-1,Unknown
aaegfpoj-1,CD8+ T cells
aaegicob-1,CD8+ T cells
aaegiknd-1,CD8+ T cells
aaegpabj-1,CD8+ T cells
aaehefoi-1,CD8+ T cells
aaehgdmi-1,CD8+ T cells
aaehkppf-1,CD8+ T cells
aaehmefl-1,CD8+ T cells
aaehmmeh-1,CD8+ T cells
aaeibmje-1,Macrophages
aaeichmi-1,CD8+ T cells
aaeieibp-1,CD8+ T cells
aaeihbmo-1,Unknown
aaeihfjk-1,CD8+ T cells
aaeihgmj-1,Macrophages
aaeiibpl-1,CD8+ T cells
aaeiijap-1,CD8+ T cells
aaeijmbp-1,CD8+ T cells
aaeikpdm-1,CD8+ T cells
aaeilbob-1,Unknown
aaeimepe-1,Macrophages
aaeimkfb-1,CD8+ T cells
aaeinlbk-1,CD8+ T cells
aaejdoba-1,CD8+ T cells
aaejghil-1,CD8+ T cells
aaejhkdc-1,CD4+ T cells
aaejiefn-1,CD8+ T cells
aaejlafd-1,CD8+ T cells
aaejlhff-1,Unknown
aaejndhp-1,Unknown
aaejohjl-1,CD8+ T cells
aaejonhb-1,CD8+ T cells
aaekagoa-1,Macrophages
aaekcclk-1,CD8+ T cells
aaekdhdc-1,Unknown
aaekhbei-1,CD8+ T cells
aaekhdao-1,CD8+ T cells
aaekieeg-1,CD8+ T cells
aaekjjan-1,CD8+ T cells
aaeklknj-1,CD8+ T cells
aaeknajc-1,CD8+ T cells
aaeknjbc-1,CD8+ T cells
aaekoikd-1,CD4+ T cells
aaelabck-1,CD8+ T cells
aaelcibe-1,CD8+ T cells
aaelfdmm-1,Macrophages
aaelfijj-1,Macrophages
aaeljikm-1,CD8+ T cells
aaelkdmn-1,Macrophages
aaelmmah-1,Unknown
aaeloahn-1,CD8+ T cells
aaelolmd-1,Macrophages
aaemakmd-1,CD8+ T cells
aaemcggf-1,CD8+ T cells
aaempoki-1,CD8+ T cells
aaenfcmd-1,Macrophages
aaengglh-1,Macrophages
aaenhhhm-1,CD8+ T cells
aaenkacn-1,CD8+ T cells
aaenlcpi-1,CD8+ T cells
aaenlhmk-1,CD8+ T cells
aaenmlje-1,CD8+ T cells
aaeobemk-1,CD8+ T cells
aaeodlgl-1,Macrophages
aaeogbbd-1,Macrophages
aaeoicjp-1,Unknown
aaeokfkf-1,CD8+ T cells
aaeoodij-1,Unknown
aaeopaaf-1,Macrophages
aaepagni-1,CD8+ T cells
aaepajhg-1,CD8+ T cells
aaepakba-1,CD8+ T cells
aaepcbnf-1,Macrophages
aaepdjno-1,CD8+ T cells
aaepehjg-1,CD8+ T cells
aaepipcd-1,CD8+ T cells
aaepjppj-1,Unknown
aaepmfml-1,CD8+ T cells
aafaajan-1,CD8+ T cells
aafabnnp-1,CD8+ T cells
aafadbbm-1,Macrophages
aafafebf-1,CD8+ T cells
aafafjfc-1,Macrophages
aafaghmi-1,CD8+ T cells
aafahlhc-1,CD8+ T cells
aafaieop-1,Macrophages
aafakokj-1,Macrophages
aafammfg-1,CD8+ T cells
aafbbfhb-1,CD8+ T cells
aafblabg-1,Endothelial
aafblkad-1,CD8+ T cells
aafcgjok-1,CD4+ T cells
aafcnbke-1,CD8+ T cells
aafdbmlh-1,CD8+ T cells
aafdceci-1,CD8+ T cells
aafdclbl-1,CD8+ T cells
aafdilee-1,Macrophages
aafdobnk-1,CD8+ T cells
aafdochc-1,CD8+ T cells
aafdphmg-1,Unknown
aafdpnmn-1,CD8+ T cells
aafebldh-1,Macrophages
aafecpgf-1,CD8+ T cells
aafehkea-1,CD4+ T cells
aafeidfe-1,CD8+ T cells
aafejcnk-1,CD8+ T cells
aafejocp-1,CD4+ T cells
aafekagn-1,CD8+ T cells
aafelbag-1,CD8+ T cells
aafeodnl-1,CD8+ T cells
aafepnnf-1,Macrophages
aaffcfmf-1,Macrophages
aaffdege-1,Macrophages
aaffeeak-1,CD8+ T cells
aaffflgl-1,Macrophages
aaffhfoe-1,Macrophages
aaffkoak-1,CD8+ T cells
aafflage-1,CD8+ T cells
aaffmbpn-1,Macrophages
aaffmfll-1,CD8+ T cells
aaffoljc-1,Macrophages
aafgdggo-1,CD8+ T cells
aafgfmea-1,Macrophages
aafggmed-1,Macrophages
aafgmhld-1,CD8+ T cells
aafgnibf-1,Macrophages
aafgofep-1,Unknown
aafhamng-1,Macrophages
aafhbcfk-1,CD8+ T cells
aafhceij-1,Unknown
aafhfdjo-1,Unknown
aafhlpja-1,Unknown
aafiadgg-1,Unknown
aafihhde-1,CD8+ T cells
aafiieee-1,Macrophages
aafijgdj-1,CD8+ T cells
aafimjpn-1,Unknown
aafjckfc-1,CD8+ T cells
aafjdnej-1,Unknown
aafjffbi-1,Unknown
aafjfkbd-1,CD8+ T cells
aafjhjco-1,CD8+ T cells
aafjmbad-1,CD8+ T cells
aafjngei-1,Unknown
aafjobmb-1,CD8+ T cells
aafkaapj-1,CD8+ T cells
aafkbjaj-1,Unknown
aafkcicj-1,Unknown
aafkdehh-1,CD8+ T cells
aafkdkbi-1,Endothelial
aafkdmdn-1,Unknown
aafkfaok-1,CD8+ T cells
aafkgboj-1,Macrophages
aafkkdie-1,Unknown
aafkkjkh-1,CD8+ T cells
aafkkmhm-1,CD8+ T cells
aafklpki-1,Unknown
aaflanpk-1,Macrophages
aaflhkeg-1,Unknown
aaflicnh-1,Unknown
aaflifjb-1,CD8+ T cells
aafljdea-1,CD8+ T cells
aafljnio-1,CD8+ T cells
aaflmfoo-1,Unknown
aaflnhgm-1,Unknown
aaflocgl-1,CD8+ T cells
aafmicof-1,Unknown
aafmmbgc-1,Unknown
aafmobgf-1,CD8+ T cells
aafncgko-1,CD8+ T cells
aafnemfi-1,Unknown
aafnfeim-1,Unknown
aafngeno-1,CD8+ T cells
aafnigfa-1,Endothelial
aafnjdkh-1,CD8+ T cells
aafnndba-1,Unknown
aafnojhb-1,Macrophages
aafoaekm-1,Unknown
aafoafbo-1,Macrophages
aafobjho-1,CD8+ T cells
aafoejme-1,Macrophages
aafohank-1,CD8+ T cells
aafojnaa-1,CD8+ T cells
aafoledb-1,CD8+ T cells
aafpdend-1,CD8+ T cells
aafpikdd-1,Epithelial
aafpjdfp-1,Unknown
aafpmmap-1,CD8+ T cells
aafpmmlh-1,CD8+ T cells
aafpnjla-1,CD8+ T cells
aafpnknd-1,Macrophages
aafpnlpm-1,CD8+ T cells
aafpppjm-1,Unknown
aagadhga-1,Unknown
aagaffil-1,CD8+ T cells
aagaghie-1,CD8+ T cells
aagagmmg-1,Macrophages
aagahecd-1,Unknown
aagajohe-1,Macrophages
aagakcdb-1,Unknown
aaganobh-1,CD8+ T cells
aagbadkc-1,Unknown
aagbbdci-1,CD8+ T cells
aagbhgfo-1,CD8+ T cells
aagbldlh-1,Unknown
aagblnhd-1,Unknown
aagckgaa-1,Macrophages
aagckgfo-1,CD8+ T cells
aagcknaf-1,Unknown
aagclafl-1,CD8+ T cells
aagcngih-1,Macrophages
aagcpabe-1,Epithelial
aagdgnbg-1,Macrophages
aagdlbnk-1,Macrophages
aagdmadb-1,Macrophages
aagdnhoj-1,Unknown
aagdnlki-1,Unknown
aagebkjl-1,Macrophages
aageiale-1,Macrophages
aagekdjf-1,Unknown
aagelbln-1,Unknown
aageopak-1,Unknown
aagephbn-1,Unknown
aagfeijm-1,Unknown
aagfgakc-1,Unknown
aagfgcif-1,Macrophages
aagfhchh-1,Unknown
aagfiiek-1,Unknown
aagfikgl-1,Unknown
aagfjnmd-1,Unknown
aagfkeok-1,Unknown
aagfkmpb-1,CD8+ T cells
aagfkock-1,CD8+ T cells
aagfldlh-1,Epithelial
aagflpgp-1,CD4+ T cells
aagfoekf-1,Unknown
aaggcjpl-1,Macrophages
aaggdmdo-1,CD8+ T cells
aagggeda-1,Macrophages
aaggghmo-1,Unknown
aaggkepb-1,CD8+ T cells
aagglkek-1,Macrophages
aagglkmm-1,Unknown
aagglobb-1,CD8+ T cells
aaggpdkl-1,Unknown
aaggpnmf-1,CD8+ T cells
aaghamdi-1,Unknown
aaghecec-1,Unknown
aaghfgkg-1,Unknown
aaghgbfl-1,Unknown
aaghggcb-1,Unknown
aaghgpgk-1,Unknown
aaghilap-1,Unknown
aaghkbop-1,Macrophages
aaghllhh-1,Unknown
aaghnjjj-1,Unknown
aagiahcc-1,Macrophages
aagidnai-1,Unknown
aagijemm-1,Macrophages
aagikjdm-1,Unknown
aagjakcg-1,Unknown
aagjcfgc-1,Macrophages
aagjinfl-1,Unknown
aagjjjoo-1,Unknown
aagjncnk-1,Unknown
aagjnmaa-1,Macrophages
aagkaaaa-1,Epithelial
aagkooli-1,Macrophages
aaglccjh-1,Epithelial
aaglddkm-1,Unknown
aagldjph-1,Unknown
aaglgbfo-1,CD8+ T cells
aaglgbgn-1,Unknown
aaglgoim-1,Macrophages
aaglingf-1,CD8+ T cells
aagljfgf-1,CD8+ T cells
aaglmipo-1,Unknown
aaglodph-1,Unknown
aagmbihd-1,CD8+ T cells
aagmbjhn-1,Unknown
aagmenef-1,Unknown
aagmfbhe-1,Unknown
aagmfgce-1,Macrophages
aagmgmlp-1,CD8+ T cells
aagmhfia-1,Macrophages
aagmjcko-1,Macrophages
aagmkhlg-1,CD8+ T cells
