,B cells,Endothelial,Epithelial,Fibroblasts,Macrophages,T cells,n_cells,spot_x,spot_y
spot_635,0.0,0.0,0.2857142857142857,0.0,0.6428571428571429,0.07142857142857142,14,,
spot_636,0.0,0.07142857142857142,0.21428571428571427,0.0,0.6428571428571429,0.07142857142857142,14,,
spot_637,0.0,0.0,0.5555555555555556,0.0,0.1111111111111111,0.3333333333333333,9,,
spot_638,0.0,0.0,0.7142857142857143,0.0,0.21428571428571427,0.07142857142857142,14,,
spot_640,0.0,0.26666666666666666,0.0,0.4,0.3333333333333333,0.0,15,,
spot_733,0.0,0.6153846153846154,0.0,0.15384615384615385,0.15384615384615385,0.07692307692307693,13,,
spot_734,0.0,0.09090909090909091,0.0,0.5454545454545454,0.36363636363636365,0.0,11,,
spot_735,0.0,0.5,0.0,0.5,0.0,0.0,8,,
spot_736,0.0,0.14285714285714285,0.0,0.7142857142857143,0.14285714285714285,0.0,7,,
spot_738,0.0,0.0,0.6111111111111112,0.0,0.3333333333333333,0.05555555555555555,18,,
spot_739,0.0,0.0,0.35,0.0,0.65,0.0,20,,
spot_740,0.0,0.0,0.4666666666666667,0.0,0.3333333333333333,0.2,15,,
spot_741,0.0,0.0,0.06896551724137931,0.0,0.6206896551724138,0.3103448275862069,29,,
spot_742,0.0,0.0,0.5,0.0,0.5,0.0,22,,
spot_743,0.0,0.0,0.043478260869565216,0.0,0.782608695652174,0.17391304347826086,23,,
spot_744,0.0,0.0,0.2777777777777778,0.0,0.5,0.2222222222222222,18,,
spot_745,0.0,0.0,0.7,0.0,0.2,0.1,10,,
spot_746,0.0,0.0,0.5714285714285714,0.0,0.42857142857142855,0.0,7,,
spot_747,0.0,0.0,0.23076923076923078,0.0,0.6153846153846154,0.15384615384615385,13,,
spot_748,0.0,0.0,0.5,0.0,0.4,0.1,10,,
spot_749,0.0,0.0,0.5714285714285714,0.0,0.42857142857142855,0.0,7,,
spot_750,0.0,0.0,1.0,0.0,0.0,0.0,8,,
spot_751,0.0,0.0,0.5,0.0,0.4375,0.0625,16,,
spot_752,0.0,0.0,0.6666666666666666,0.0,0.2222222222222222,0.1111111111111111,9,,
spot_753,0.0,0.0,1.0,0.0,0.0,0.0,11,,
spot_754,0.0,0.0,0.75,0.0,0.0,0.25,4,,
spot_755,0.09090909090909091,0.45454545454545453,0.2727272727272727,0.0,0.09090909090909091,0.09090909090909091,11,,
spot_848,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.14285714285714285,7,,
spot_849,0.0,0.36363636363636365,0.0,0.2727272727272727,0.2727272727272727,0.09090909090909091,22,,
spot_850,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,6,,
spot_851,0.0,0.0,0.0,1.0,0.0,0.0,4,,
spot_853,0.0,0.0,0.0,0.0,1.0,0.0,12,,
spot_854,0.0,0.0,0.03225806451612903,0.0,0.8064516129032258,0.16129032258064516,31,,
spot_855,0.0,0.0,0.22727272727272727,0.0,0.6363636363636364,0.13636363636363635,22,,
spot_856,0.0,0.0,0.0,0.0,0.9166666666666666,0.08333333333333333,24,,
spot_857,0.0,0.0,0.42857142857142855,0.0,0.35714285714285715,0.21428571428571427,14,,
spot_858,0.0,0.0,0.0,0.0,0.8666666666666667,0.13333333333333333,15,,
spot_859,0.0,0.0,0.0,0.0,0.9,0.1,20,,
spot_860,0.0,0.0,0.24324324324324326,0.0,0.32432432432432434,0.43243243243243246,37,,
spot_861,0.0,0.0,0.3333333333333333,0.0,0.5333333333333333,0.13333333333333333,15,,
spot_862,0.0,0.0,0.19047619047619047,0.0,0.7142857142857143,0.09523809523809523,21,,
spot_863,0.18181818181818182,0.0,0.18181818181818182,0.0,0.6363636363636364,0.0,11,,
spot_864,0.0,0.0,0.7777777777777778,0.0,0.2222222222222222,0.0,9,,
spot_865,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,7,,
spot_866,0.0,0.0,0.7,0.0,0.3,0.0,10,,
spot_867,0.0,0.0,0.5333333333333333,0.0,0.4666666666666667,0.0,15,,
spot_868,0.0,0.0,1.0,0.0,0.0,0.0,5,,
spot_962,0.0,0.0,0.5,0.0,0.3333333333333333,0.16666666666666666,12,,
spot_963,0.0,0.0,0.18181818181818182,0.0,0.7272727272727273,0.09090909090909091,11,,
spot_964,0.0,0.5555555555555556,0.0,0.1111111111111111,0.3333333333333333,0.0,9,,
spot_965,0.0,0.35714285714285715,0.0,0.2857142857142857,0.2857142857142857,0.07142857142857142,14,,
spot_966,0.0,0.0,0.0,0.5,0.25,0.25,8,,
spot_970,0.0,0.0,0.1111111111111111,0.0,0.7222222222222222,0.16666666666666666,18,,
spot_971,0.0,0.0,0.4444444444444444,0.0,0.5555555555555556,0.0,9,,
spot_972,0.0,0.0,0.2222222222222222,0.0,0.6666666666666666,0.1111111111111111,9,,
spot_973,0.0,0.0,0.14285714285714285,0.0,0.7857142857142857,0.07142857142857142,14,,
spot_974,0.0,0.0,0.35714285714285715,0.0,0.5,0.14285714285714285,14,,
spot_975,0.0,0.0,0.2222222222222222,0.0,0.3333333333333333,0.4444444444444444,18,,
spot_976,0.0,0.0,0.23529411764705882,0.0,0.5882352941176471,0.17647058823529413,17,,
spot_977,0.0,0.0,0.36363636363636365,0.0,0.5909090909090909,0.045454545454545456,22,,
spot_978,0.0,0.0,0.26666666666666666,0.0,0.6666666666666666,0.06666666666666667,15,,
spot_979,0.0,0.0,0.4444444444444444,0.0,0.4444444444444444,0.1111111111111111,9,,
spot_980,0.0,0.0,0.11764705882352941,0.0,0.8235294117647058,0.058823529411764705,17,,
spot_981,0.0,0.0,0.42857142857142855,0.0,0.5714285714285714,0.0,14,,
spot_982,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,18,,
spot_983,0.0,0.0,0.625,0.0,0.375,0.0,8,,
spot_1077,0.0,0.0,0.2,0.0,0.8,0.0,5,,
spot_1078,0.0,0.0,0.5,0.0,0.5,0.0,12,,
spot_1079,0.06666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.26666666666666666,0.0,15,,
spot_1080,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285,0.35714285714285715,0.35714285714285715,28,,
spot_1081,0.0,0.08,0.0,0.16,0.24,0.52,25,,
spot_1082,0.0,0.2777777777777778,0.0,0.3333333333333333,0.1111111111111111,0.2777777777777778,18,,
spot_1083,0.0,0.42857142857142855,0.0,0.35714285714285715,0.21428571428571427,0.0,14,,
spot_1084,0.0,0.38461538461538464,0.0,0.07692307692307693,0.46153846153846156,0.07692307692307693,13,,
spot_1085,0.0,0.3,0.0,0.4,0.3,0.0,10,,
spot_1087,0.0,0.0,0.5555555555555556,0.0,0.3333333333333333,0.1111111111111111,18,,
spot_1088,0.0,0.0,0.4666666666666667,0.0,0.4666666666666667,0.06666666666666667,15,,
spot_1089,0.0,0.0,0.38461538461538464,0.0,0.6153846153846154,0.0,13,,
spot_1090,0.0,0.0,0.3125,0.0,0.625,0.0625,16,,
spot_1091,0.0,0.0,0.21428571428571427,0.0,0.7142857142857143,0.07142857142857142,14,,
spot_1092,0.09090909090909091,0.0,0.09090909090909091,0.0,0.5454545454545454,0.2727272727272727,11,,
spot_1093,0.0,0.0,0.375,0.0,0.375,0.25,8,,
spot_1094,0.0,0.0,0.4166666666666667,0.0,0.4166666666666667,0.16666666666666666,12,,
spot_1095,0.0,0.0,0.875,0.0,0.125,0.0,8,,
spot_1096,0.0,0.0,0.8,0.0,0.2,0.0,10,,
spot_1097,0.0,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0,14,,
spot_1098,0.0,0.0,0.4117647058823529,0.0,0.5294117647058824,0.058823529411764705,17,,
spot_1191,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.5555555555555556,0.0,9,,
spot_1192,0.0,0.0,0.25,0.5,0.25,0.0,4,,
spot_1193,0.0,0.0,0.7777777777777778,0.0,0.1111111111111111,0.1111111111111111,9,,
spot_1194,0.0,0.045454545454545456,0.0,0.22727272727272727,0.45454545454545453,0.2727272727272727,22,,
spot_1195,0.018518518518518517,0.0,0.0,0.037037037037037035,0.12962962962962962,0.8148148148148148,54,,
spot_1196,0.08108108108108109,0.02702702702702703,0.0,0.08108108108108109,0.16216216216216217,0.6486486486486487,37,,
spot_1197,0.043478260869565216,0.021739130434782608,0.0,0.0,0.10869565217391304,0.8260869565217391,46,,
spot_1198,0.0,0.14285714285714285,0.0,0.11428571428571428,0.17142857142857143,0.5714285714285714,35,,
spot_1199,0.0,0.25,0.0,0.3333333333333333,0.16666666666666666,0.25,24,,
spot_1202,0.0,0.0,0.2916666666666667,0.0,0.625,0.08333333333333333,24,,
spot_1203,0.0,0.0,0.35,0.0,0.5,0.15,20,,
spot_1204,0.0,0.0,0.26666666666666666,0.0,0.7333333333333333,0.0,15,,
spot_1205,0.0,0.0,0.23076923076923078,0.0,0.7692307692307693,0.0,13,,
spot_1206,0.0,0.0,0.46153846153846156,0.0,0.46153846153846156,0.07692307692307693,13,,
spot_1207,0.0,0.0,0.2222222222222222,0.0,0.7777777777777778,0.0,9,,
spot_1208,0.0,0.0,1.0,0.0,0.0,0.0,4,,
spot_1209,0.0,0.0,0.4117647058823529,0.0,0.35294117647058826,0.23529411764705882,17,,
spot_1210,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855,0.14285714285714285,7,,
spot_1211,0.0,0.0,0.9090909090909091,0.0,0.09090909090909091,0.0,11,,
spot_1212,0.08333333333333333,0.0,0.5833333333333334,0.0,0.3333333333333333,0.0,12,,
spot_1213,0.0,0.0,0.6,0.0,0.2,0.2,10,,
spot_1306,0.0,0.04,0.0,0.24,0.32,0.4,25,,
spot_1307,0.0,0.8,0.0,0.0,0.2,0.0,10,,
spot_1308,0.0,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0,6,,
spot_1309,0.0,0.25,0.0,0.25,0.25,0.25,12,,
spot_1310,0.05263157894736842,0.21052631578947367,0.0,0.3684210526315789,0.15789473684210525,0.21052631578947367,19,,
spot_1311,0.0,0.5,0.0,0.375,0.125,0.0,16,,
spot_1312,0.0,0.5,0.0,0.2692307692307692,0.07692307692307693,0.15384615384615385,26,,
spot_1313,0.022222222222222223,0.2,0.0,0.1111111111111111,0.17777777777777778,0.4888888888888889,45,,
spot_1314,0.06666666666666667,0.13333333333333333,0.0,0.6,0.2,0.0,15,,
spot_1316,0.0,0.0,0.5,0.0,0.3333333333333333,0.16666666666666666,6,,
spot_1317,0.0,0.0,0.2,0.0,0.8,0.0,20,,
spot_1318,0.0,0.0,0.15,0.0,0.85,0.0,20,,
spot_1319,0.0,0.0,0.2,0.0,0.8,0.0,10,,
spot_1320,0.0,0.0,0.058823529411764705,0.0,0.9411764705882353,0.0,17,,
spot_1321,0.0,0.0,0.07692307692307693,0.0,0.6923076923076923,0.23076923076923078,13,,
spot_1322,0.0,0.0,0.3076923076923077,0.0,0.46153846153846156,0.23076923076923078,13,,
spot_1323,0.0,0.0,0.12,0.0,0.52,0.36,25,,
spot_1324,0.125,0.0,0.75,0.0,0.125,0.0,8,,
spot_1325,0.0,0.0,0.5833333333333334,0.0,0.16666666666666666,0.25,12,,
spot_1326,0.08333333333333333,0.0,0.5,0.0,0.16666666666666666,0.25,12,,
spot_1327,0.0,0.0,0.6363636363636364,0.0,0.2727272727272727,0.09090909090909091,11,,
spot_1420,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,12,,
spot_1421,0.04,0.16,0.0,0.12,0.52,0.16,25,,
spot_1422,0.0,0.4,0.0,0.3,0.3,0.0,10,,
spot_1423,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,9,,
spot_1424,0.04,0.32,0.0,0.04,0.2,0.4,25,,
spot_1425,0.0,0.15384615384615385,0.0,0.3076923076923077,0.0,0.5384615384615384,13,,
spot_1426,0.0,0.18181818181818182,0.0,0.36363636363636365,0.2727272727272727,0.18181818181818182,11,,
spot_1427,0.0,0.07692307692307693,0.0,0.038461538461538464,0.3076923076923077,0.5769230769230769,26,,
spot_1428,0.0,0.5454545454545454,0.0,0.09090909090909091,0.09090909090909091,0.2727272727272727,11,,
spot_1429,0.0,0.4666666666666667,0.0,0.5333333333333333,0.0,0.0,15,,
spot_1432,0.0,0.0,0.42857142857142855,0.0,0.5714285714285714,0.0,14,,
spot_1433,0.0,0.0,0.26666666666666666,0.0,0.6666666666666666,0.06666666666666667,15,,
spot_1434,0.0,0.0,0.3333333333333333,0.0,0.6,0.06666666666666667,15,,
spot_1435,0.0,0.0,0.17647058823529413,0.0,0.4117647058823529,0.4117647058823529,17,,
spot_1436,0.0,0.0,0.0,0.0,0.5882352941176471,0.4117647058823529,17,,
spot_1437,0.0,0.0,0.2857142857142857,0.0,0.5714285714285714,0.14285714285714285,14,,
spot_1438,0.0,0.0,0.18181818181818182,0.0,0.7272727272727273,0.09090909090909091,11,,
spot_1439,0.0,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0,9,,
spot_1440,0.0,0.0,0.625,0.0,0.25,0.125,8,,
spot_1441,0.0,0.0,0.24,0.0,0.44,0.32,25,,
spot_1442,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,3,,
spot_1535,0.0,0.0,0.0,0.46153846153846156,0.3076923076923077,0.23076923076923078,13,,
spot_1536,0.07692307692307693,0.11538461538461539,0.0,0.15384615384615385,0.34615384615384615,0.3076923076923077,26,,
spot_1537,0.0,0.4666666666666667,0.0,0.4666666666666667,0.06666666666666667,0.0,15,,
spot_1538,0.0,0.2222222222222222,0.0,0.5555555555555556,0.2222222222222222,0.0,9,,
spot_1539,0.0,0.2222222222222222,0.0,0.2222222222222222,0.18518518518518517,0.37037037037037035,27,,
spot_1540,0.0,0.027777777777777776,0.0,0.1111111111111111,0.2222222222222222,0.6388888888888888,36,,
spot_1541,0.0,0.14285714285714285,0.0,0.6071428571428571,0.14285714285714285,0.10714285714285714,28,,
spot_1542,0.0,0.3076923076923077,0.0,0.5384615384615384,0.15384615384615385,0.0,13,,
spot_1543,0.0,0.1111111111111111,0.0,0.5555555555555556,0.3333333333333333,0.0,9,,
spot_1544,0.0,0.0,0.0,0.5454545454545454,0.36363636363636365,0.09090909090909091,11,,
spot_1545,0.0,0.4166666666666667,0.0,0.4166666666666667,0.16666666666666666,0.0,12,,
spot_1548,0.0,0.0,0.0,0.0,1.0,0.0,10,,
spot_1549,0.0,0.0,0.0,0.0,0.8461538461538461,0.15384615384615385,13,,
spot_1551,0.0,0.0,0.0,0.0,0.9166666666666666,0.08333333333333333,12,,
spot_1552,0.0,0.0,0.2222222222222222,0.0,0.6666666666666666,0.1111111111111111,9,,
spot_1553,0.0,0.0,0.0,0.0,0.5,0.5,4,,
spot_1649,0.0,0.20833333333333334,0.0,0.16666666666666666,0.5416666666666666,0.08333333333333333,24,,
spot_1650,0.0,0.21428571428571427,0.0,0.07142857142857142,0.5714285714285714,0.14285714285714285,14,,
spot_1651,0.0,0.3333333333333333,0.0,0.5,0.08333333333333333,0.08333333333333333,12,,
spot_1652,0.0,0.1,0.0,0.3,0.3,0.3,20,,
spot_1653,0.0,0.20833333333333334,0.0,0.3333333333333333,0.2916666666666667,0.16666666666666666,24,,
spot_1654,0.0,0.12903225806451613,0.0,0.12903225806451613,0.22580645161290322,0.5161290322580645,31,,
spot_1655,0.02702702702702703,0.10810810810810811,0.0,0.13513513513513514,0.21621621621621623,0.5135135135135135,37,,
spot_1656,0.0,0.2222222222222222,0.0,0.6666666666666666,0.05555555555555555,0.05555555555555555,18,,
spot_1657,0.0,0.0,0.0,0.7,0.3,0.0,10,,
spot_1658,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,12,,
spot_1659,0.0,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,14,,
spot_1660,0.0,0.18181818181818182,0.0,0.5454545454545454,0.09090909090909091,0.18181818181818182,11,,
spot_1662,0.0,0.0,0.0,0.0,1.0,0.0,7,,
spot_1663,0.0,0.0,0.11764705882352941,0.0,0.6470588235294118,0.23529411764705882,17,,
spot_1664,0.0,0.0,0.4,0.0,0.6,0.0,5,,
spot_1670,0.0,0.3333333333333333,0.0,0.16666666666666666,0.5,0.0,12,,
spot_1671,0.02857142857142857,0.2571428571428571,0.0,0.17142857142857143,0.3142857142857143,0.22857142857142856,35,,
spot_1764,0.0,0.047619047619047616,0.0,0.19047619047619047,0.47619047619047616,0.2857142857142857,21,,
spot_1765,0.0,0.1,0.0,0.3,0.5,0.1,20,,
