cell_id,cell_type
aaahbhoj-1,Mixed Immune
aaahcicp-1,Myofibroblasts
aaahfooc-1,CD8+ T cells
aaahgddh-1,CD8+ T cells
aaahhlho-1,Myofibroblasts
aaahniko-1,Macrophages
aaahocmo-1,Macrophages
aaahoead-1,CD8+ T cells
aaahpphg-1,CD8+ T cells
aaaicbad-1,Macrophages
aaaicchp-1,Mixed Immune
aaaieapl-1,CD8+ T cells
aaaifeoh-1,Macrophages
aaaijmdd-1,Macrophages
aaailmea-1,Macrophages
aaaimdeb-1,Macrophages
aaainfcj-1,Macrophages
aaajalli-1,CD8+ T cells
aaajbekm-1,Macrophages
aaajbomm-1,Macrophages
aaajdkgm-1,Macrophages
aaajenlh-1,Epithelial
aaajfgdm-1,Mixed Immune
aaajggme-1,Macrophages
aaajghie-1,Macrophages
aaajneei-1,Myofibroblasts
aaajpacn-1,Macrophages
aaakaicm-1,Mixed Immune
aaakaidp-1,Epithelial
aaakalnl-1,Mixed Immune
aaakapba-1,Endothelial
aaakapeo-1,Macrophages
aaakbifn-1,Macrophages
aaakboal-1,Mixed Immune
aaakdijd-1,CD8+ T cells
aaakgnkp-1,Macrophages
aaakhnei-1,Mixed Immune
aaakjboe-1,Mixed Immune
aaakpffc-1,CD8+ T cells
aaalbaan-1,Macrophages
aaalcbhj-1,Mixed Immune
aaalcooa-1,CD8+ T cells
aaalenei-1,CD8+ T cells
aaalephl-1,Mixed Immune
aaalibnp-1,CD8+ T cells
aaalklff-1,Mixed Immune
aaalknni-1,CD8+ T cells
aaalmcmm-1,Mixed Immune
aaamfjeg-1,Macrophages
aaamgbcd-1,CD8+ T cells
aaamjnpo-1,Mixed Immune
aaamkjpp-1,Epithelial
aaammmoe-1,Epithelial
aaamnlim-1,Macrophages
aaampdlo-1,Epithelial
aaanbpfa-1,CD8+ T cells
aaancmhn-1,Mixed Immune
aaandmnm-1,CD8+ T cells
aaandpjk-1,Macrophages
aaanepeb-1,CD8+ T cells
aaanfhbb-1,Mixed Immune
aaanhake-1,Endothelial
aaanhhan-1,Mixed Immune
aaanhlaj-1,CD8+ T cells
aaanimgh-1,Epithelial
aaanljpj-1,Macrophages
aaanmelb-1,CD8+ T cells
aaanmjhe-1,Mixed Immune
aaanmojg-1,Mixed Immune
aaanognl-1,Macrophages
aaaoaeip-1,CD8+ T cells
aaaoeddb-1,Macrophages
aaaofjnh-1,Mixed Immune
aaaojjhc-1,CD8+ T cells
aaaojmaa-1,Mixed Immune
aaaoloen-1,CD8+ T cells
aaaomhih-1,Mixed Immune
aaaommgg-1,Mixed Immune
aaaoobdd-1,Mixed Immune
aaapalia-1,CD8+ T cells
aaapbamo-1,Macrophages
aaapcnle-1,Epithelial
aaapdodf-1,Mixed Immune
aaapeeap-1,Stromal
aaapidhd-1,Endothelial
aaapjgoa-1,Myofibroblasts
aaapjlek-1,Endothelial
aaapmhho-1,CD8+ T cells
aaapmnmn-1,CD8+ T cells
aaappnpb-1,CD8+ T cells
aabaadec-1,Myofibroblasts
aabaagij-1,Macrophages
aabaccai-1,CD8+ T cells
aabacfbn-1,Endothelial
aabadbpj-1,CD8+ T cells
aabaeokb-1,Epithelial
aabakbbo-1,CD8+ T cells
aabamnpn-1,Macrophages
aabamofi-1,Macrophages
aabaofnd-1,Mixed Immune
aabbbdii-1,Macrophages
aabbeckb-1,Epithelial
aabbeejc-1,Epithelial
aabbighe-1,CD8+ T cells
aabblgad-1,Macrophages
aabbpjmh-1,Mixed Immune
aabcanog-1,Macrophages
aabcenen-1,CD8+ T cells
aabcflcc-1,Macrophages
aabcghlk-1,Mixed Immune
aabchccm-1,Macrophages
aabcnbfn-1,Macrophages
aabcnpcd-1,Mixed Immune
aabcodke-1,Macrophages
aabcpbgn-1,CD8+ T cells
aabdaegd-1,Mixed Immune
aabdafnm-1,Mixed Immune
aabdegba-1,Epithelial
aabdijkp-1,CD8+ T cells
aabdkego-1,Mixed Immune
aabdlcgj-1,CD8+ T cells
aabdpool-1,CD8+ T cells
aabempgk-1,CD8+ T cells
aabfcdpb-1,CD8+ T cells
aabfdanm-1,Mixed Immune
aabfddje-1,Macrophages
aabfkkap-1,CD8+ T cells
aabfmhcj-1,CD8+ T cells
aabfoclf-1,Macrophages
aabfpfnh-1,Mixed Immune
aabfpolh-1,CD8+ T cells
aabgainn-1,Mixed Immune
aabgclpg-1,Mixed Immune
aabgdiad-1,CD8+ T cells
aabgecof-1,Epithelial
aabgkkdo-1,CD8+ T cells
aabgpkmj-1,CD8+ T cells
aabhafdh-1,CD8+ T cells
aabhbfbd-1,CD8+ T cells
aabhdbak-1,Mixed Immune
aabhembo-1,Mixed Immune
aabhhhnh-1,CD8+ T cells
aabhicim-1,Mixed Immune
aabhijkp-1,CD8+ T cells
aabhjfij-1,Macrophages
aabifjfo-1,Mixed Immune
aabimgkb-1,CD8+ T cells
aabimnjn-1,CD8+ T cells
aabinnep-1,Macrophages
aabjaplc-1,CD8+ T cells
aabjboij-1,CD8+ T cells
aabjboki-1,Mixed Immune
aabjgdke-1,CD8+ T cells
aabjjmlc-1,CD8+ T cells
aabjkeki-1,Macrophages
aabjkjln-1,CD8+ T cells
aabjlkmh-1,CD8+ T cells
aabjlmbg-1,CD8+ T cells
aabjnfhm-1,CD8+ T cells
aabjnicc-1,CD8+ T cells
aabjokak-1,CD8+ T cells
aabkaoao-1,Mixed Immune
aabkccmo-1,CD8+ T cells
aabkcmll-1,CD8+ T cells
aabkfimp-1,CD8+ T cells
aabkheci-1,Macrophages
aabkkeke-1,CD8+ T cells
aabklmgp-1,CD8+ T cells
aabkpalp-1,Mixed Immune
aablagnm-1,Mixed Immune
aablcahj-1,Macrophages
aabliaae-1,Macrophages
aablingi-1,CD8+ T cells
aablkhkm-1,CD8+ T cells
aablkkhe-1,Myofibroblasts
aablmpkn-1,CD8+ T cells
aabmbjbm-1,Macrophages
aabmhdnc-1,Macrophages
aabminbg-1,Macrophages
aabmldek-1,Mixed Immune
aabmpfdb-1,Macrophages
aabnbfme-1,Macrophages
aabnigbe-1,Mixed Immune
aabnonpl-1,CD8+ T cells
aabnpgef-1,CD8+ T cells
aaboacmc-1,Epithelial
aaboagfp-1,Mixed Immune
aaboaocb-1,CD8+ T cells
aabobomo-1,CD8+ T cells
aabodgja-1,CD8+ T cells
aabomdfl-1,Stromal
aabooapf-1,CD8+ T cells
aabpaaea-1,Mixed Immune
aabpbamg-1,Mixed Immune
aabpbbfe-1,Mixed Immune
aabpejep-1,CD8+ T cells
aabpjcpo-1,Macrophages
aabpklbl-1,Macrophages
aabpkoac-1,Mixed Immune
aabpmhim-1,Mixed Immune
aabpoanh-1,Mixed Immune
aacafmbe-1,Mixed Immune
aacahkjj-1,Vascular Stromal
aacaigda-1,Macrophages
aacajlge-1,Mixed Immune
aacalidh-1,Mixed Immune
aacbfblg-1,Mixed Immune
aacbflpj-1,Mixed Immune
aacbjbbg-1,CD8+ T cells
aacbjjoi-1,CD8+ T cells
aacbmdjm-1,Mixed Immune
aacbnopm-1,Macrophages
aaccalho-1,CD8+ T cells
aaccbohg-1,Macrophages
aaccemoe-1,Mixed Immune
aaccfcli-1,CD8+ T cells
aaccgabl-1,Mixed Immune
aaccihij-1,Mixed Immune
aaccolpg-1,Mixed Immune
aaccpdgj-1,Myofibroblasts
aacdbdpo-1,Stromal
aacddkhd-1,CD8+ T cells
aacdeakj-1,CD8+ T cells
aacdfped-1,Mixed Immune
aacdnben-1,Mixed Immune
aacdojde-1,Macrophages
aacebheb-1,Mixed Immune
aaceclnh-1,Epithelial
aacefhmk-1,CD8+ T cells
aacegpil-1,Stromal
aacehnfc-1,CD8+ T cells
aacejpcg-1,Mixed Immune
aacfbcia-1,Endothelial
aacfedcg-1,CD8+ T cells
aacffkaf-1,CD8+ T cells
aacfhlli-1,Macrophages
aacflnch-1,Epithelial
aacfnneo-1,Epithelial
aacgcicd-1,Macrophages
aacgdjjd-1,Mixed Immune
aacgdkep-1,CD8+ T cells
aacgggei-1,Mixed Immune
aacgkpjd-1,Mixed Immune
aacgljoc-1,Mixed Immune
aacgmmho-1,CD8+ T cells
aacgnhmo-1,CD8+ T cells
aachdjda-1,Mixed Immune
aachdllj-1,Macrophages
aachiplh-1,CD8+ T cells
aachjpja-1,Mixed Immune
aachmbid-1,Mixed Immune
aachoaec-1,Mixed Immune
aachokdk-1,CD8+ T cells
aachpiad-1,Mixed Immune
aaciaeam-1,CD8+ T cells
aaciafec-1,Mixed Immune
aacialam-1,Macrophages
aacibdhb-1,CD8+ T cells
aacifcbe-1,CD8+ T cells
aacifmhp-1,Mixed Immune
aaciggjc-1,Mixed Immune
aacihjae-1,Mixed Immune
aaciijpp-1,CD8+ T cells
aacijjdl-1,CD8+ T cells
aacikipm-1,Mixed Immune
aacimkmn-1,Mixed Immune
aacinmkb-1,CD8+ T cells
aacipkjl-1,Mixed Immune
aacjbabj-1,Mixed Immune
aacjbahi-1,Epithelial
aacjdhjp-1,Myofibroblasts
aacjfpcn-1,Macrophages
aacjhkdi-1,Macrophages
aacjijkm-1,CD8+ T cells
aacjkdjk-1,Epithelial
aacjknli-1,Mixed Immune
aacjmebj-1,Macrophages
aacjmnkn-1,Macrophages
aacjnbjc-1,Macrophages
aacjneie-1,CD8+ T cells
aackcdcj-1,Epithelial
aackcell-1,Epithelial
aackjnpj-1,Myofibroblasts
aackpfbi-1,CD8+ T cells
aaclbpmo-1,Macrophages
aacldeai-1,CD8+ T cells
aaclglnh-1,Macrophages
aacljdig-1,Macrophages
aacllejc-1,CD8+ T cells
aaclmpag-1,CD8+ T cells
aaclndgm-1,Macrophages
aaclnfjl-1,Mixed Immune
aaclnhef-1,Mixed Immune
aacloidh-1,Macrophages
aaclphna-1,Epithelial
aaclpnkb-1,Mixed Immune
aacmhifn-1,Mixed Immune
aacmjhmg-1,Macrophages
aacnbjkk-1,Mixed Immune
aacncijm-1,CD8+ T cells
aacnfncb-1,Stromal
aacngpgb-1,Macrophages
aacnhifa-1,Mixed Immune
aacnhllm-1,CD8+ T cells
aacnhnab-1,Mixed Immune
aacnoolj-1,Mixed Immune
aacoaifi-1,Mixed Immune
aacofjgj-1,CD8+ T cells
aacohkff-1,Myofibroblasts
aacoical-1,Epithelial
aacojpil-1,Myofibroblasts
aacolmfc-1,CD8+ T cells
aacolmjb-1,Macrophages
aaconoii-1,Mixed Immune
aacpckob-1,Macrophages
aacpfhfe-1,Mixed Immune
aacpfhio-1,Mixed Immune
aacphggj-1,CD8+ T cells
aacpiofe-1,CD8+ T cells
aacpkbdk-1,Mixed Immune
aacpphlj-1,CD8+ T cells
aacppkim-1,Mixed Immune
aacppmhm-1,Mixed Immune
aadabmmb-1,CD8+ T cells
aadacnoe-1,CD8+ T cells
aadadfbp-1,CD8+ T cells
aadadpgm-1,CD8+ T cells
aadahemc-1,Mixed Immune
aadajnbd-1,Mixed Immune
aadamghj-1,CD8+ T cells
aadangap-1,Mixed Immune
aadbacoo-1,Macrophages
aadbajkf-1,Macrophages
aadbapnb-1,Mixed Immune
aadbbkel-1,Macrophages
aadbglhf-1,CD8+ T cells
aadbjopa-1,Macrophages
aadblgdf-1,Mixed Immune
aadbnfne-1,Mixed Immune
aadbolfh-1,Mixed Immune
aadcblpi-1,Mixed Immune
aadcdlpa-1,CD8+ T cells
aadceeic-1,CD8+ T cells
aadcggil-1,CD8+ T cells
aadcgibn-1,Macrophages
aadcigkc-1,Mixed Immune
aadcldjo-1,CD8+ T cells
aadcmfpf-1,Mixed Immune
aadcmjao-1,CD8+ T cells
aadcmjkn-1,Mixed Immune
aadcpedg-1,Mixed Immune
aaddadcg-1,Macrophages
aaddehhc-1,Mixed Immune
aaddenif-1,CD8+ T cells
aaddepcj-1,Macrophages
aaddgdfe-1,CD8+ T cells
aaddifon-1,Macrophages
aaddknmp-1,CD8+ T cells
aaddoofe-1,Mixed Immune
aadeicio-1,CD8+ T cells
aadeogbd-1,CD8+ T cells
aadepddo-1,Mixed Immune
aadfajag-1,CD8+ T cells
aadfbaoo-1,CD8+ T cells
aadfcljc-1,Mixed Immune
aadfdibh-1,Mixed Immune
aadfhiik-1,CD8+ T cells
aadfhjgj-1,CD8+ T cells
aadfinai-1,Mixed Immune
aadflgag-1,Macrophages
aadgbkkd-1,CD8+ T cells
aadgfiok-1,Macrophages
aadgfmon-1,Macrophages
aadggfno-1,CD8+ T cells
aadggmoc-1,CD8+ T cells
aadgikhg-1,Macrophages
aadgjfke-1,Mixed Immune
aadgkphm-1,Macrophages
aadgofpa-1,CD8+ T cells
aadgpnee-1,CD8+ T cells
aadhcdka-1,Mixed Immune
aadhckmc-1,CD8+ T cells
aadhdlim-1,CD8+ T cells
aadhgcak-1,CD8+ T cells
aadhhpni-1,Macrophages
aadhihkj-1,Macrophages
aadhiojk-1,Stromal
aadhjmpd-1,Stromal
aadiedeg-1,Proliferating T
aadihcmf-1,CD8+ T cells
aadiiedd-1,CD8+ T cells
aadiklbd-1,CD8+ T cells
aadimgjo-1,Mixed Immune
aadiodhd-1,Macrophages
aadjapdd-1,Mixed Immune
aadjceki-1,CD8+ T cells
aadjcmac-1,CD8+ T cells
aadjcmfh-1,CD8+ T cells
aadjdppm-1,CD8+ T cells
aadjfpdh-1,CD8+ T cells
aadjpcig-1,Mixed Immune
aadjplhm-1,Mixed Immune
aadkgggi-1,Macrophages
aadkhphe-1,Mixed Immune
aadkkika-1,CD8+ T cells
aadknhnh-1,Mixed Immune
aadlacnm-1,CD8+ T cells
aadlcfbl-1,CD8+ T cells
aadlfchn-1,CD8+ T cells
aadlflbl-1,CD8+ T cells
aadlhbhl-1,CD8+ T cells
aadljplo-1,CD8+ T cells
aadlnbah-1,Macrophages
aadlnddi-1,CD8+ T cells
aadlommi-1,Macrophages
aadmabmi-1,Macrophages
aadmaico-1,CD8+ T cells
aadmangn-1,Mixed Immune
aadmbnjc-1,Macrophages
aadmgejk-1,Macrophages
aadmjbde-1,CD8+ T cells
aadmnlpb-1,CD8+ T cells
aadmpfke-1,Mixed Immune
aadmphao-1,Mixed Immune
aadndfhh-1,CD8+ T cells
aadnglfa-1,CD8+ T cells
aadnkjic-1,Myofibroblasts
aadnlmen-1,CD8+ T cells
aadnmkeo-1,Epithelial
aadnmnii-1,Mixed Immune
aadoeedo-1,Mixed Immune
aadoeihd-1,Macrophages
aadofiln-1,Mixed Immune
aadohdhb-1,CD8+ T cells
aadoibmj-1,Macrophages
aadoklpb-1,Epithelial
aadomdjo-1,Mixed Immune
aadomjja-1,Mixed Immune
aadonnlk-1,Mixed Immune
aadpahhm-1,Stromal
aadpakbe-1,Mixed Immune
aadpaocn-1,Stromal
aadpbhpg-1,Endothelial
aadpegnl-1,CD8+ T cells
aadpjaie-1,CD8+ T cells
aadpkgfa-1,CD8+ T cells
aadplfgl-1,Macrophages
aadpmhkd-1,Macrophages
aaeaehbb-1,Epithelial
aaeafene-1,Macrophages
aaeagdag-1,Mixed Immune
aaeaipff-1,CD8+ T cells
aaeangel-1,Macrophages
aaebacjm-1,CD8+ T cells
aaebgdjd-1,Mixed Immune
aaebgkgf-1,CD8+ T cells
aaebhhhh-1,Mixed Immune
aaebhnna-1,Mixed Immune
aaebjimd-1,Epithelial
aaebmkfa-1,CD8+ T cells
aaecclem-1,Mixed Immune
aaecflhc-1,Macrophages
aaecfnjp-1,Mixed Immune
aaecheol-1,CD8+ T cells
aaecignd-1,CD8+ T cells
aaeckbhf-1,Macrophages
aaecpikd-1,Mixed Immune
aaeddkpp-1,Mixed Immune
aaeddnmh-1,Vascular Stromal
aaedhenb-1,Endothelial
aaedhfch-1,CD8+ T cells
aaedibod-1,CD8+ T cells
aaedlnhp-1,CD8+ T cells
aaedmagf-1,CD8+ T cells
aaeeaohf-1,CD8+ T cells
aaeebjjn-1,CD8+ T cells
aaeeeocg-1,Mixed Immune
aaeehdnc-1,Macrophages
aaeeihok-1,CD8+ T cells
aaeejmmf-1,Mixed Immune
aaeeknpf-1,CD8+ T cells
aaeeljbf-1,CD8+ T cells
aaeenbfc-1,CD8+ T cells
aaeepchi-1,Mixed Immune
aaeepkdc-1,Mixed Immune
aaeeppeg-1,CD8+ T cells
aaefadjd-1,CD8+ T cells
aaefaejd-1,Macrophages
aaefallb-1,CD8+ T cells
aaefbodl-1,Macrophages
aaefcnkl-1,Mixed Immune
aaefcpgj-1,Mixed Immune
aaefdimb-1,Mixed Immune
aaefgiho-1,CD8+ T cells
aaefgmpk-1,Macrophages
aaefhndg-1,Mixed Immune
aaeflbfi-1,CD8+ T cells
aaefolmb-1,Macrophages
aaefpmjg-1,Mixed Immune
aaegafpd-1,Macrophages
aaegbfdi-1,Mixed Immune
aaegdaak-1,CD8+ T cells
aaegeaab-1,CD8+ T cells
aaegfaom-1,Epithelial
aaegfcpp-1,Mixed Immune
aaegfpoj-1,CD8+ T cells
aaegicob-1,Mixed Immune
aaegiknd-1,CD8+ T cells
aaegpabj-1,Macrophages
aaehefoi-1,Mixed Immune
aaehgdmi-1,CD8+ T cells
aaehkppf-1,CD8+ T cells
aaehmefl-1,CD8+ T cells
aaehmmeh-1,CD8+ T cells
aaeibmje-1,Macrophages
aaeichmi-1,CD8+ T cells
aaeieibp-1,CD8+ T cells
aaeihbmo-1,Macrophages
aaeihfjk-1,CD8+ T cells
aaeihgmj-1,Macrophages
aaeiibpl-1,Mixed Immune
aaeiijap-1,CD8+ T cells
aaeijmbp-1,CD8+ T cells
aaeikpdm-1,CD8+ T cells
aaeilbob-1,Stromal
aaeimepe-1,Mixed Immune
aaeimkfb-1,CD8+ T cells
aaeinlbk-1,Mixed Immune
aaejdoba-1,Mixed Immune
aaejghil-1,CD8+ T cells
aaejhkdc-1,CD8+ T cells
aaejiefn-1,CD8+ T cells
aaejlafd-1,Mixed Immune
aaejlhff-1,Mixed Immune
aaejndhp-1,CD8+ T cells
aaejohjl-1,CD8+ T cells
aaejonhb-1,CD8+ T cells
aaekagoa-1,Macrophages
aaekcclk-1,CD8+ T cells
aaekdhdc-1,Mixed Immune
aaekhbei-1,CD8+ T cells
aaekhdao-1,Mixed Immune
aaekieeg-1,CD8+ T cells
aaekjjan-1,Mixed Immune
aaeklknj-1,CD8+ T cells
aaeknajc-1,CD8+ T cells
aaeknjbc-1,CD8+ T cells
aaekoikd-1,CD8+ T cells
aaelabck-1,Mixed Immune
aaelcibe-1,CD8+ T cells
aaelfdmm-1,Macrophages
aaelfijj-1,Macrophages
aaeljikm-1,CD8+ T cells
aaelkdmn-1,Macrophages
aaelmmah-1,CD8+ T cells
aaeloahn-1,Mixed Immune
aaelolmd-1,Macrophages
aaemakmd-1,CD8+ T cells
aaemcggf-1,Mixed Immune
aaempoki-1,Mixed Immune
aaenfcmd-1,Macrophages
aaengglh-1,Macrophages
aaenhhhm-1,Mixed Immune
aaenkacn-1,Mixed Immune
aaenlcpi-1,Stromal
aaenlhmk-1,Mixed Immune
aaenmlje-1,Mixed Immune
aaeobemk-1,Mixed Immune
aaeodlgl-1,Macrophages
aaeogbbd-1,Macrophages
aaeoicjp-1,CD8+ T cells
aaeokfkf-1,CD8+ T cells
aaeoodij-1,Macrophages
aaeopaaf-1,Macrophages
aaepagni-1,CD8+ T cells
aaepajhg-1,CD8+ T cells
aaepakba-1,CD8+ T cells
aaepcbnf-1,Macrophages
aaepdjno-1,CD8+ T cells
aaepehjg-1,CD8+ T cells
aaepipcd-1,Macrophages
aaepjppj-1,CD8+ T cells
aaepmfml-1,CD8+ T cells
aafaajan-1,CD8+ T cells
aafabnnp-1,Mixed Immune
aafadbbm-1,Macrophages
aafafebf-1,CD8+ T cells
aafafjfc-1,Mixed Immune
aafaghmi-1,Mixed Immune
aafahlhc-1,Mixed Immune
aafaieop-1,CD8+ T cells
aafakokj-1,Macrophages
aafammfg-1,Mixed Immune
aafbbfhb-1,CD8+ T cells
aafblabg-1,Endothelial
aafblkad-1,Mixed Immune
aafcgjok-1,Mixed Immune
aafcnbke-1,Mixed Immune
aafdbmlh-1,Mixed Immune
aafdceci-1,CD8+ T cells
aafdclbl-1,CD8+ T cells
aafdilee-1,Mixed Immune
aafdobnk-1,Mixed Immune
aafdochc-1,CD8+ T cells
aafdphmg-1,Mixed Immune
aafdpnmn-1,Mixed Immune
aafebldh-1,Macrophages
aafecpgf-1,Mixed Immune
aafehkea-1,CD8+ T cells
aafeidfe-1,CD8+ T cells
aafejcnk-1,Mixed Immune
aafejocp-1,CD8+ T cells
aafekagn-1,CD8+ T cells
aafelbag-1,Mixed Immune
aafeodnl-1,CD8+ T cells
aafepnnf-1,Macrophages
aaffcfmf-1,Macrophages
aaffdege-1,Macrophages
aaffeeak-1,CD8+ T cells
aaffflgl-1,Macrophages
aaffhfoe-1,Macrophages
aaffkoak-1,CD8+ T cells
aafflage-1,CD8+ T cells
aaffmbpn-1,CD8+ T cells
aaffmfll-1,CD8+ T cells
aaffoljc-1,Macrophages
aafgdggo-1,CD8+ T cells
aafgfmea-1,Macrophages
aafggmed-1,Macrophages
aafgmhld-1,Mixed Immune
aafgnibf-1,Macrophages
aafgofep-1,Macrophages
aafhamng-1,Macrophages
aafhbcfk-1,CD8+ T cells
aafhceij-1,CD8+ T cells
aafhfdjo-1,CD8+ T cells
aafhlpja-1,Macrophages
aafiadgg-1,CD8+ T cells
aafihhde-1,Mixed Immune
aafiieee-1,Macrophages
aafijgdj-1,Mixed Immune
aafimjpn-1,Epithelial
aafjckfc-1,CD8+ T cells
aafjdnej-1,CD8+ T cells
aafjffbi-1,Epithelial
aafjfkbd-1,CD8+ T cells
aafjhjco-1,Macrophages
aafjmbad-1,CD8+ T cells
aafjngei-1,CD8+ T cells
aafjobmb-1,CD8+ T cells
aafkaapj-1,CD8+ T cells
aafkbjaj-1,Macrophages
aafkcicj-1,Macrophages
aafkdehh-1,Mixed Immune
aafkdkbi-1,Endothelial
aafkdmdn-1,Epithelial
aafkfaok-1,CD8+ T cells
aafkgboj-1,Macrophages
aafkkdie-1,CD8+ T cells
aafkkjkh-1,CD8+ T cells
aafkkmhm-1,CD8+ T cells
aafklpki-1,Epithelial
aaflanpk-1,Macrophages
aaflhkeg-1,CD8+ T cells
aaflicnh-1,Epithelial
aaflifjb-1,Mixed Immune
aafljdea-1,CD8+ T cells
aafljnio-1,CD8+ T cells
aaflmfoo-1,Mixed Immune
aaflnhgm-1,CD8+ T cells
aaflocgl-1,CD8+ T cells
aafmicof-1,CD8+ T cells
aafmmbgc-1,Epithelial
aafmobgf-1,CD8+ T cells
aafncgko-1,CD8+ T cells
aafnemfi-1,CD8+ T cells
aafnfeim-1,CD8+ T cells
aafngeno-1,CD8+ T cells
aafnigfa-1,Endothelial
aafnjdkh-1,CD8+ T cells
aafnndba-1,Mixed Immune
aafnojhb-1,Macrophages
aafoaekm-1,CD8+ T cells
aafoafbo-1,Macrophages
aafobjho-1,CD8+ T cells
aafoejme-1,Macrophages
aafohank-1,CD8+ T cells
aafojnaa-1,CD8+ T cells
aafoledb-1,CD8+ T cells
aafpdend-1,CD8+ T cells
aafpikdd-1,Epithelial
aafpjdfp-1,CD8+ T cells
aafpmmap-1,CD8+ T cells
aafpmmlh-1,CD8+ T cells
aafpnjla-1,Mixed Immune
aafpnknd-1,Macrophages
aafpnlpm-1,Mixed Immune
aafpppjm-1,Epithelial
aagadhga-1,CD8+ T cells
aagaffil-1,Mixed Immune
aagaghie-1,CD8+ T cells
aagagmmg-1,Macrophages
aagahecd-1,CD8+ T cells
aagajohe-1,Macrophages
aagakcdb-1,Mixed Immune
aaganobh-1,CD8+ T cells
aagbadkc-1,CD8+ T cells
aagbbdci-1,Mixed Immune
aagbhgfo-1,CD8+ T cells
aagbldlh-1,Epithelial
aagblnhd-1,Epithelial
aagckgaa-1,Macrophages
aagckgfo-1,Mixed Immune
aagcknaf-1,Macrophages
aagclafl-1,CD8+ T cells
aagcngih-1,Macrophages
aagcpabe-1,CD8+ T cells
aagdgnbg-1,Macrophages
aagdlbnk-1,Macrophages
aagdmadb-1,Macrophages
aagdnhoj-1,Epithelial
aagdnlki-1,CD8+ T cells
aagebkjl-1,Macrophages
aageiale-1,Macrophages
aagekdjf-1,Epithelial
aagelbln-1,Epithelial
aageopak-1,Myofibroblasts
aagephbn-1,Mixed Immune
aagfeijm-1,Epithelial
aagfgakc-1,Mixed Immune
aagfgcif-1,Macrophages
aagfhchh-1,Epithelial
aagfiiek-1,Epithelial
aagfikgl-1,Macrophages
aagfjnmd-1,Epithelial
aagfkeok-1,CD8+ T cells
aagfkmpb-1,CD8+ T cells
aagfkock-1,CD8+ T cells
aagfldlh-1,Macrophages
aagflpgp-1,CD8+ T cells
aagfoekf-1,Stromal
aaggcjpl-1,Macrophages
aaggdmdo-1,CD8+ T cells
aagggeda-1,Macrophages
aaggghmo-1,CD8+ T cells
aaggkepb-1,CD8+ T cells
aagglkek-1,Macrophages
aagglkmm-1,CD8+ T cells
aagglobb-1,CD8+ T cells
aaggpdkl-1,Macrophages
aaggpnmf-1,CD8+ T cells
aaghamdi-1,Epithelial
aaghecec-1,CD8+ T cells
aaghfgkg-1,CD8+ T cells
aaghgbfl-1,Mixed Immune
aaghggcb-1,Epithelial
aaghgpgk-1,CD8+ T cells
aaghilap-1,CD8+ T cells
aaghkbop-1,Macrophages
aaghllhh-1,Mixed Immune
aaghnjjj-1,CD8+ T cells
aagiahcc-1,Macrophages
aagidnai-1,CD8+ T cells
aagijemm-1,Macrophages
aagikjdm-1,Mixed Immune
aagjakcg-1,Mixed Immune
aagjcfgc-1,Macrophages
aagjinfl-1,Mixed Immune
aagjjjoo-1,Macrophages
aagjncnk-1,Myofibroblasts
aagjnmaa-1,Macrophages
